会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
营业损益率,a013_fenmu,销货收入,5101,1,,,,55012501,营业费用-物料费-包装费
营业损益率,a013_fenmu,销货退回,5111,1,,,,55012509,营业费用-物料费-其它物料费
营业损益率,a013_fenmu,销货折让,5121,1,,,,550126,营业费用-燃料费
税前损益,a014,销货收入,5101,0.36,,,,55012601,营业费用-燃料费-汽油
税前损益,a014,销货退回,5111,0.36,,,,55012602,营业费用-燃料费-柴油
税前损益,a014,销货折让,5121,0.36,,,,550127,营业费用-网络服务费用
税前损益,a014,销货成本,4101,-0.36,,,,550128,营业费用-劳动保护费
税前损益,a014,销货成本退回,4111,-0.36,,,,550130,营业费用-开模费
税前损益,a014,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,550131,营业费用-董事会费
税前损益,a014,其他业务收入,5102,1,,,,550132,营业费用-工会经费
税前损益,a014,行政毛利分配(GMLB),89990902,1,,,,550133,营业费用-展览费
税前损益,a014,研发毛利分配(RD),89990903,1,,,,550134,营业费用-汽车费用
税前损益,a014,业务行政组毛利分配(YZ01),89990904,1,,,,550188,营业费用-其它费用
税前损益,a014,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,550199,营业费用-异状费
税前损益,a014,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,55019901,营业费用-异状费-产成品成本差异
税前损益,a014,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,55019911,营业费用-异状费-产成品报废损失
税前损益,a014,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,55019912,营业费用-异状费-半成品报废损失
税前损益,a014,营业外收入,7101,1,,,,55019913,营业费用-异状费-半制品报废损失
税前损益,a014,投资损益,7301,1,,,,55019914,营业费用-异状费-原材料报废损失
税前损益,a014,以前年度损益调整,7901,1,,,,55019915,营业费用-异状费-委托加工报废损失
税前损益,a014,其他业务成本,4102,-1,,,,55019916,营业费用-异状费-产成品盘点盈亏
税前损益,a014,主营业务税金及附加,4112,-1,,,,a009,业务损益
税前损益,a014,不予免抵退税额及进项税转出,4113,-1,,,,5601,管理费用
税前损益,a014,营业费用,5501,-1,,,,a5601,管理费用
税前损益,a014,研究发展费用,5701,-1,,,,560101,管理费用-薪资支出
税前损益,a014,财务费用,5801,-1,,,,56010101,管理费用-薪资支出-基本薪资
税前损益,a014,管理费用,5601,-1,,,,56010102,管理费用-薪资支出-加班费
税前损益,a014,营业外支出,7201,-1,,,,56010103,管理费用-薪资支出-奖金
税前损益率,a015_fenzi,销货收入,5101,0.36,,,,56010104,管理费用-薪资支出-劳务派遣
税前损益率,a015_fenzi,销货退回,5111,0.36,,,,560102,管理费用-租金支出
税前损益率,a015_fenzi,销货折让,5121,0.36,,,,560103,管理费用-文具用品
税前损益率,a015_fenzi,销货成本,4101,-0.36,,,,560104,管理费用-旅费
税前损益率,a015_fenzi,销货成本退回,4111,-0.36,,,,560105,管理费用-运费
税前损益率,a015_fenzi,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,560106,管理费用-邮电费
税前损益率,a015_fenzi,其他业务收入,5102,1,,,,560107,管理费用-修缮费
税前损益率,a015_fenzi,行政毛利分配(GMLB),89990902,1,,,,560108,管理费用-广告费
税前损益率,a015_fenzi,研发毛利分配(RD),89990903,1,,,,560109,管理费用-水电瓦斯费
税前损益率,a015_fenzi,业务行政组毛利分配(YZ01),89990904,1,,,,56010901,管理费用-水电瓦斯费-水费
税前损益率,a015_fenzi,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,56010902,管理费用-水电瓦斯费-电费
税前损益率,a015_fenzi,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,56010903,管理费用-水电瓦斯费-瓦斯费
税前损益率,a015_fenzi,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,560110,管理费用-保险费
税前损益率,a015_fenzi,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,56011001,管理费用-保险费-养老保险费
税前损益率,a015_fenzi,营业外收入,7101,1,,,,56011002,管理费用-保险费-工伤保险费
税前损益率,a015_fenzi,投资损益,7301,1,,,,56011003,管理费用-保险费-医疗保险费
税前损益率,a015_fenzi,以前年度损益调整,7901,1,,,,56011004,管理费用-保险费-失业保险费
税前损益率,a015_fenzi,其他业务成本,4102,-1,,,,56011005,管理费用-保险费-生育保险费
税前损益率,a015_fenzi,主营业务税金及附加,4112,-1,,,,56011006,管理费用-保险费-人身意外伤害保险费
税前损益率,a015_fenzi,不予免抵退税额及进项税转出,4113,-1,,,,56011007,管理费用-保险费-车辆保险费
税前损益率,a015_fenzi,营业费用,5501,-1,,,,56011008,管理费用-保险费-财产保险费
税前损益率,a015_fenzi,研究发展费用,5701,-1,,,,56011009,管理费用-保险费-产品责任保险费
税前损益率,a015_fenzi,财务费用,5801,-1,,,,560111,管理费用-交际费
税前损益率,a015_fenzi,管理费用,5601,-1,,,,560112,管理费用-捐赠
税前损益率,a015_fenzi,营业外支出,7201,-1,,,,560113,管理费用-税捐
税前损益率,a015_fenmu,销货收入,5101,1,,,,56011301,管理费用-税捐-印花税
税前损益率,a015_fenmu,销货退回,5111,1,,,,5601130101,管理费用-税捐-印花税-购销合同
税前损益率,a015_fenmu,销货折让,5121,1,,,,5601130102,管理费用-税捐-印花税-财产保险合同
税后损益,a016,销货收入,5101,0.36,,,,5601130103,管理费用-税捐-印花税-借款合同
税后损益,a016,销货退回,5111,0.36,,,,5601130104,管理费用-税捐-印花税-营业资金账簿
税后损益,a016,销货折让,5121,0.36,,,,5601130105,管理费用-税捐-印花税-技术合同税
税后损益,a016,销货成本,4101,-0.36,,,,5601130106,管理费用-税捐-印花税-财产租赁合同
税后损益,a016,销货成本退回,4111,-0.36,,,,5601130107,管理费用-税捐-印花税-其他营业账簿
税后损益,a016,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,5601130108,管理费用-税捐-印花税-货物运输合同
税后损益,a016,其他业务收入,5102,1,,,,56011302,管理费用-税捐-房产税
税后损益,a016,行政毛利分配(GMLB),89990902,1,,,,56011303,管理费用-税捐-车船使用税
税后损益,a016,研发毛利分配(RD),89990903,1,,,,560114,管理费用-呆帐损失
税后损益,a016,业务行政组毛利分配(YZ01),89990904,1,,,,560115,管理费用-折旧
税后损益,a016,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,560116,管理费用-各项摊提
税后损益,a016,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,56011601,管理费用-各项摊提-长期待摊费用摊销
税后损益,a016,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,56011602,管理费用-各项摊提-无形资产摊销
税后损益,a016,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,56011603,管理费用-各项摊提-低值易耗品摊销
税后损益,a016,营业外收入,7101,1,,,,560117,管理费用-伙食费
税后损益,a016,投资损益,7301,1,,,,560118,管理费用-职工褔利
税后损益,a016,以前年度损益调整,7901,1,,,,56011801,管理费用-职工褔利
税后损益,a016,其他业务成本,4102,-1,,,,560119,管理费用-研究发展费用
税后损益,a016,主营业务税金及附加,4112,-1,,,,56011901,管理费用-研究发展费用-样品领用\测试费
税后损益,a016,不予免抵退税额及进项税转出,4113,-1,,,,56011902,管理费用-研究发展费用-试模费
税后损益,a016,营业费用,5501,-1,,,,560120,管理费用-佣金支出
税后损益,a016,研究发展费用,5701,-1,,,,560121,管理费用-训练费
税后损益,a016,财务费用,5801,-1,,,,560122,管理费用-进出口费用
税后损益,a016,管理费用,5601,-1,,,,560123,管理费用-保全费
税后损益,a016,营业外支出,7201,-1,,,,560124,管理费用-劳务费
税后损益,a016,所得税费用,8101,-1,,,,56012401,管理费用-劳务费-审计费
税后损益率,a017,销货收入,5101,0.36,,,,56012402,管理费用-劳务费-验资费
税后损益率,a017,销货退回,5111,0.36,,,,56012403,管理费用-劳务费-资产评估费
税后损益率,a017,销货折让,5121,0.36,,,,56012404,管理费用-劳务费-律师顾问费
税后损益率,a017,销货成本,4101,-0.36,,,,56012405,管理费用-劳务费-ISO评审费
税后损益率,a017,销货成本退回,4111,-0.36,,,,56012408,管理费用-劳务费-其它劳务费
