会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
,,,,,,,,56019914,管理费用-异状费-原材料报废损失
,,,,,,,,56019915,管理费用-异状费-委托加工报废损失
,,,,,,,,56019924,管理费用-异状费-替代品出货成本差异
,,,,,,,,56019925,管理费用-异状费-色粉色母耗用损失
,,,,,,,,56019928,管理费用-异状费-暂报废留库
,,,,,,,,56019929,管理费用-异状费-包装差异
,,,,,,,,56019930,管理费用-异状费-外发回重检包装差异
,,,,,,,,56019931,管理费用-异状费-成品返电差异
,,,,,,,,56019932,管理费用-异状费-洗油差异
,,,,,,,,56019933,管理费用-异状费-换算差异
,,,,,,,,56019934,管理费用-异状费-外包未回损失
,,,,,,,,56019935,管理费用-异状费-借还货
,,,,,,,,56019981,管理费用-异状费-嘉联与国联对账差额
,,,,,,,,56019982,管理费用-异状费-嘉联与力投对账差额
,,,,,,,,56019983,管理费用-异状费-嘉联与力顿对账差额
,,,,,,,,56019984,管理费用-异状费-力顿与力投对账差额
,,,,,,,,56019985,管理费用-异状费-力投与国联对账差额
,,,,,,,,56019999,管理费用-历史年度制造损益（含材料成本差异）
,,,,,,,,a010,管理损益
,,,,,,,,5701,研究发展费用
,,,,,,,,570101,研究发展费用-薪资支出
,,,,,,,,57010101,研究发展费用-薪资支出-基本薪资
,,,,,,,,57010102,研究发展费用-薪资支出-加班费
,,,,,,,,57010103,研究发展费用-薪资支出-奖金
,,,,,,,,570102,研究发展费用-租金支出
,,,,,,,,570103,研究发展费用-文具用品
,,,,,,,,570104,研究发展费用-旅费
,,,,,,,,570105,研究发展费用-运费
,,,,,,,,570106,研究发展费用-邮电费
,,,,,,,,570107,研究发展费用-修缮费
,,,,,,,,570108,研究发展费用-广告费
,,,,,,,,570109,研究发展费用-水电瓦斯费
,,,,,,,,57010901,研究发展费用-水电瓦斯费-水费
,,,,,,,,57010902,研究发展费用-水电瓦斯费-电费
,,,,,,,,57010903,研究发展费用-水电瓦斯费-瓦斯费
,,,,,,,,570110,研究发展费用-保险费
,,,,,,,,570111,研究发展费用-交际费
,,,,,,,,570112,研究发展费用-捐赠
,,,,,,,,570113,研究发展费用-税捐
,,,,,,,,570114,研究发展费用-呆帐损失
,,,,,,,,570115,研究发展费用-折旧
,,,,,,,,570116,研究发展费用-各项摊提
,,,,,,,,57011601,研究发展费用-各项摊提-长期待摊费用
,,,,,,,,57011602,研究发展费用-各项摊提-无形资产摊销
,,,,,,,,57011603,研究发展费用-各项摊提-低值易耗品摊销
,,,,,,,,570118,研究发展费用-职工褔利
,,,,,,,,570119,研究发展费用-委托研究费
,,,,,,,,57011901,研究发展费用-委托研究费-样品领用\测试费
,,,,,,,,57011902,研究发展费用-委托研究费-试模费
,,,,,,,,570121,研究发展费用-训练费
,,,,,,,,570122,研究发展费用-进出口费用
,,,,,,,,57012201,研究发展费用-进出口费用-出口运费
,,,,,,,,57012202,研究发展费用-进出口费用-出口报关费
,,,,,,,,570123,研究发展费用-保全费
,,,,,,,,570124,研究发展费用-劳务费
,,,,,,,,570125,研究发展费用-物料费
,,,,,,,,57012501,研究发展费用-物料费-包装费
,,,,,,,,57012509,研究发展费用-物料费-其它物料费
,,,,,,,,570126,研究发展费用-燃料费
,,,,,,,,57012601,研究发展费用-燃料费-汽油
,,,,,,,,57012602,研究发展费用-燃料费-柴油
,,,,,,,,570127,研究发展费用-网络服务费用
,,,,,,,,570128,研究发展费用-劳动保护费
,,,,,,,,570129,研究发展费用-试模费
,,,,,,,,570130,研究发展费用-开模费
,,,,,,,,570131,研究发展费用-董事会费
,,,,,,,,570132,研究发展费用-工会经费
,,,,,,,,570133,研究发展费用-展览费
,,,,,,,,570134,研究发展费用-汽车费用
,,,,,,,,570188,研究发展费用-其它费用
,,,,,,,,570199,研究发展费用-异状费
,,,,,,,,57019901,研究发展费用-异状费-产成品成本差异
,,,,,,,,57019911,研究发展费用-异状费-产成品报废损失
,,,,,,,,57019912,研究发展费用-异状费-半成品报废损失
,,,,,,,,57019913,研究发展费用-异状费-半制品报废损失
,,,,,,,,57019914,研究发展费用-异状费-原材料报废损失
,,,,,,,,57019915,研究发展费用-异状费-委托加工报废损
,,,,,,,,57019916,研究发展费用-异状费-产成品盘点盈亏
,,,,,,,,a011,研究发展损益
,,,,,,,,5801,财务费用
,,,,,,,,580101,财务费用-利息收入
,,,,,,,,580102,财务费用-利息支出
,,,,,,,,580103,财务费用-兑换收益
,,,,,,,,580104,财务费用-兑换损失
,,,,,,,,580105,财务费用-银行手续费
,,,,,,,,a012,营业损益
,,,,,,,,a013,营业损益率
,,,,,,,,7101,营业外收入
,,,,,,,,710101,营业外收入-处分固定资产收益
,,,,,,,,710102,营业外收入-处分投资利益
,,,,,,,,710103,营业外收入-存货盘盈
,,,,,,,,710104,营业外收入-管理费收入
,,,,,,,,710105,营业外收入-出售下脚及废料收入
,,,,,,,,710106,营业外收入-处分列管资产收益
,,,,,,,,710109,营业外收入-其它营业外收入
,,,,,,,,7201,营业外支出
,,,,,,,,720101,营业外支出-处分固定资产损失
,,,,,,,,720102,营业外支出-处分投资损失
,,,,,,,,720103,营业外支出-存货盘损
,,,,,,,,720104,营业外支出-赔偿损失
,,,,,,,,720105,营业外支出-滞纳金\罚款损失
,,,,,,,,720106,营业外支出-捐赠
,,,,,,,,720107,营业外支出-非常损失
,,,,,,,,720108,营业外支出-处分存货损失
,,,,,,,,720109,营业外支出-赞助支出
,,,,,,,,720110,营业外支出-水利建设专项基金
,,,,,,,,720111,营业外支出-残疾人保障金
,,,,,,,,720198,营业外支出-容错
,,,,,,,,720199,营业外支出-其它营业外支出
,,,,,,,,7301,投资损益
,,,,,,,,7901,以前年度损益调整
,,,,,,,,790101,以前年度损益调整
,,,,,,,,a014,税前损益
,,,,,,,,a015,税前损益率
,,,,,,,,8101,所得税费用
,,,,,,,,810101,所得税费用
,,,,,,,,a016,税后损益
,,,,,,,,a017,税后损益率
